{'TIMESTAMP': '2024-04-15 10:08:45.460', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 339661', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:16.349', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 263064', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:17.921', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 369888', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:19.592', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 1671680', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:20.325', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 371333', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:21.349', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 224599', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:23.061', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 214397', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:23.839', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 550743', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:25.110', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 245713', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:25.942', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 201418', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:27.122', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 245698', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:30.895', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 212063', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:31.702', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 209623', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:33.817', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 210645', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:34.188', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 211806', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:34.794', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 244778', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:35.331', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 235872', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:35.980', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 322337', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:36.389', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 251756', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:40.195', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 3179420', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:40.900', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 661863', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:10:41.629', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 678153', 'CALLER': 'IOManager.cpp:172(pull)'}
