{'TIMESTAMP': 'null', 'LEVEL': 'null', 'MODULE': 'null', 'MESSAGE': 'null', 'CALLER': 'null'}
{'TIMESTAMP': '2024-04-15 10:11:09.396', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:23.988', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:09.966', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 0-game0 elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.015', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 0-game0 elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:10.374', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.052', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:10.374', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 1.014909222s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:10.596', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.080', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:01.449', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:24.126', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
