{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: CHAT true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: FUNEMENU true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: HUDTASK true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: GUIDE true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: APPEARAMCE true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: PETRESEARCH true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: PLAYERENHANCEMENT true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: PETENTRY true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: BAG true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: QUEST true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: PETBALL true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tCommonSwitch: PVP true \t', 'CALLER': '[resetCommonSwitch]     Entities/SpaceEntities/ClientMainPlayer:600'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ControllerSystem', 'MESSAGE': ' \t@bgf controlEntity\tZ0hiqZrYVkUqGKtT\t', 'CALLER': '[controlEntity]     GameApp/Controller/ControllerSystem:99'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ControllerSystem', 'MESSAGE': ' \tswitchController from PawnController to PlayerController\t', 'CALLER': '[switchController]     GameApp/Controller/ControllerSystem:122'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientModelEntity onBeControlled\t', 'CALLER': '[onBeControlled]     Entities/ClientPawnEntity:181'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'debug', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tEVENT_BeControlled\tSmall\t0.375\t', 'CALLER': '[]     ...ties/SpaceEntities/CommonComponent/ClientMotionComponent:533'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientMainPlayer start\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientMainPlayer:296'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tStarting client interact\t', 'CALLER': '[v]     ...es/SpaceEntities/CommonComponent/ClientInteractComponent:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'LoginAgent', 'MESSAGE': ' \tstart bindGlobalMsGate for 32906\t', 'CALLER': '[bindGlobalMsGate]     Entities/LoginAgent:321'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tStarting client inventory\t', 'CALLER': '[v]     ...s/SpaceEntities/PlayerComponent/ClientInventoryComponent:24'}
